Entered file!
Imports done!
*** RUN *** 
chain_1cB
** Loading results csv
*** Analysing case 0
{'chain_gold_precision_source': 0.6666666666666666, 'chain_recall_target': 0.6666666666666666, 'chain_pegasus_precision_source': 0.7142857142857143, 'chain_precision_target': 0.2857142857142857, 'chain_f1_target': 0.4}
*** Analysing case 93
{'chain_gold_precision_source': 0.5384615384615384, 'chain_recall_target': 0.46153846153846156, 'chain_pegasus_precision_source': 0.9285714285714286, 'chain_precision_target': 0.35714285714285715, 'chain_f1_target': 0.40268456375838935}
*** Analysing case 94
{'chain_gold_precision_source': 0.7142857142857143, 'chain_recall_target': 0.2857142857142857, 'chain_pegasus_precision_source': 0.8695652173913043, 'chain_precision_target': 0.2608695652173913, 'chain_f1_target': 0.2727272727272727}
*** Analysing case 95
{'chain_gold_precision_source': 0.6842105263157895, 'chain_recall_target': 0.15789473684210525, 'chain_pegasus_precision_source': 0.8, 'chain_precision_target': 0.1, 'chain_f1_target': 0.12244897959183673}
*** Analysing case 96
{'chain_gold_precision_source': 0.7777777777777778, 'chain_recall_target': 0.2222222222222222, 'chain_pegasus_precision_source': 0.9, 'chain_precision_target': 0.2, 'chain_f1_target': 0.2105263157894737}
*** Analysing case 97
{'chain_gold_precision_source': 0.5, 'chain_recall_target': 0.125, 'chain_pegasus_precision_source': 0.9, 'chain_precision_target': 0.1, 'chain_f1_target': 0.11111111111111112}
*** Analysing case 98
{'chain_gold_precision_source': 0.5714285714285714, 'chain_recall_target': 0.2857142857142857, 'chain_pegasus_precision_source': 0.9230769230769231, 'chain_precision_target': 0.23076923076923078, 'chain_f1_target': 0.25531914893617025}
*** Analysing case 99
{'chain_gold_precision_source': 0.6666666666666666, 'chain_recall_target': 0.5, 'chain_pegasus_precision_source': 0.9, 'chain_precision_target': 0.5, 'chain_f1_target': 0.5}
*** Analysing case 100
{'chain_gold_precision_source': 0.3333333333333333, 'chain_recall_target': 0.0, 'chain_pegasus_precision_source': 0.9, 'chain_precision_target': 0.0, 'chain_f1_target': 0}
*** Analysing case 101
{'chain_gold_precision_source': 0.0, 'chain_recall_target': 0.0, 'chain_pegasus_precision_source': 1.0, 'chain_precision_target': 0.0, 'chain_f1_target': 0}
*** Analysing case 102
{'chain_gold_precision_source': 0.8888888888888888, 'chain_recall_target': 0.4444444444444444, 'chain_pegasus_precision_source': 1.0, 'chain_precision_target': 0.2857142857142857, 'chain_f1_target': 0.34782608695652173}
*** Analysing case 103
{'chain_gold_precision_source': 0.8333333333333334, 'chain_recall_target': 0.3333333333333333, 'chain_pegasus_precision_source': 0.75, 'chain_precision_target': 0.08333333333333333, 'chain_f1_target': 0.13333333333333333}
*** Analysing case 104
{'chain_gold_precision_source': 0.6, 'chain_recall_target': 0.4, 'chain_pegasus_precision_source': 0.75, 'chain_precision_target': 0.5833333333333334, 'chain_f1_target': 0.4745762711864407}
*** Analysing case 105
{'chain_gold_precision_source': 0.5454545454545454, 'chain_recall_target': 0.36363636363636365, 'chain_pegasus_precision_source': 1.0, 'chain_precision_target': 0.3333333333333333, 'chain_f1_target': 0.34782608695652173}
*** Analysing case 106
{'chain_gold_precision_source': 0.5, 'chain_recall_target': 0.5, 'chain_pegasus_precision_source': 0.5625, 'chain_precision_target': 0.3125, 'chain_f1_target': 0.38461538461538464}
*** Analysing case 107
{'chain_gold_precision_source': 0.8181818181818182, 'chain_recall_target': 0.45454545454545453, 'chain_pegasus_precision_source': 0.8333333333333334, 'chain_precision_target': 0.25, 'chain_f1_target': 0.3225806451612903}
*** Analysing case 108
{'chain_gold_precision_source': 0.5714285714285714, 'chain_recall_target': 0.42857142857142855, 'chain_pegasus_precision_source': 0.7692307692307693, 'chain_precision_target': 0.23076923076923078, 'chain_f1_target': 0.3}
*** Analysing case 109
{'chain_gold_precision_source': 0.3333333333333333, 'chain_recall_target': 0.16666666666666666, 'chain_pegasus_precision_source': 0.8333333333333334, 'chain_precision_target': 0.08333333333333333, 'chain_f1_target': 0.1111111111111111}
*** Analysing case 110
{'chain_gold_precision_source': 1.0, 'chain_recall_target': 0.5, 'chain_pegasus_precision_source': 1.0, 'chain_precision_target': 0.6666666666666666, 'chain_f1_target': 0.5714285714285715}
*** Analysing case 111
{'chain_gold_precision_source': 0.7142857142857143, 'chain_recall_target': 0.42857142857142855, 'chain_pegasus_precision_source': 0.5, 'chain_precision_target': 0.3333333333333333, 'chain_f1_target': 0.375}
*** Analysing case 112
{'chain_gold_precision_source': 0.8571428571428571, 'chain_recall_target': 0.42857142857142855, 'chain_pegasus_precision_source': 1.0, 'chain_precision_target': 0.3, 'chain_f1_target': 0.3529411764705882}
*** Analysing case 113
{'chain_gold_precision_source': 0.7777777777777778, 'chain_recall_target': 0.6666666666666666, 'chain_pegasus_precision_source': 0.875, 'chain_precision_target': 0.25, 'chain_f1_target': 0.36363636363636365}
*** Analysing case 114
{'chain_gold_precision_source': 0.5714285714285714, 'chain_recall_target': 0.42857142857142855, 'chain_pegasus_precision_source': 0.6, 'chain_precision_target': 0.1, 'chain_f1_target': 0.16216216216216217}
*** Analysing case 115
{'chain_gold_precision_source': 0.6666666666666666, 'chain_recall_target': 0.3888888888888889, 'chain_pegasus_precision_source': 0.8823529411764706, 'chain_precision_target': 0.23529411764705882, 'chain_f1_target': 0.2931937172774869}
*** Analysing case 116
{'chain_gold_precision_source': 0.29411764705882354, 'chain_recall_target': 0.23529411764705882, 'chain_pegasus_precision_source': 1.0, 'chain_precision_target': 0.8333333333333334, 'chain_f1_target': 0.3669724770642202}
*** Analysing case 117
{'chain_gold_precision_source': 0.4, 'chain_recall_target': 0.1, 'chain_pegasus_precision_source': 0.8333333333333334, 'chain_precision_target': 0.16666666666666666, 'chain_f1_target': 0.125}
*** Analysing case 118
{'chain_gold_precision_source': 0.42857142857142855, 'chain_recall_target': 0.2857142857142857, 'chain_pegasus_precision_source': 0.9, 'chain_precision_target': 0.2, 'chain_f1_target': 0.23529411764705882}
*** Analysing case 119
{'chain_gold_precision_source': 0.5, 'chain_recall_target': 0.375, 'chain_pegasus_precision_source': 0.8461538461538461, 'chain_precision_target': 0.23076923076923078, 'chain_f1_target': 0.2857142857142857}
*** Analysing case 120
{'chain_gold_precision_source': 0.7272727272727273, 'chain_recall_target': 0.45454545454545453, 'chain_pegasus_precision_source': 0.7647058823529411, 'chain_precision_target': 0.29411764705882354, 'chain_f1_target': 0.35714285714285715}
*** Analysing case 121
{'chain_gold_precision_source': 0.5, 'chain_recall_target': 0.5, 'chain_pegasus_precision_source': 1.0, 'chain_precision_target': 0.18181818181818182, 'chain_f1_target': 0.26666666666666666}
*** Analysing case 122
{'chain_gold_precision_source': 0.5714285714285714, 'chain_recall_target': 0.2857142857142857, 'chain_pegasus_precision_source': 1.0, 'chain_precision_target': 0.18181818181818182, 'chain_f1_target': 0.2222222222222222}
*** Analysing case 123
{'chain_gold_precision_source': 0.25, 'chain_recall_target': 0.25, 'chain_pegasus_precision_source': 0.7619047619047619, 'chain_precision_target': 0.09523809523809523, 'chain_f1_target': 0.13793103448275862}
*** Analysing case 124
{'chain_gold_precision_source': 0.7777777777777778, 'chain_recall_target': 0.3333333333333333, 'chain_pegasus_precision_source': 0.8461538461538461, 'chain_precision_target': 0.23076923076923078, 'chain_f1_target': 0.27272727272727276}
*** Analysing case 125
{'chain_gold_precision_source': 0.7857142857142857, 'chain_recall_target': 0.2857142857142857, 'chain_pegasus_precision_source': 0.8181818181818182, 'chain_precision_target': 0.3181818181818182, 'chain_f1_target': 0.30107526881720426}
*** Analysing case 126
{'chain_gold_precision_source': 0.7, 'chain_recall_target': 0.5, 'chain_pegasus_precision_source': 0.8571428571428571, 'chain_precision_target': 0.35714285714285715, 'chain_f1_target': 0.41666666666666663}
*** Analysing case 127
